 Mortalidade - Brasil
Óbitos p/Residênc por Município e Faixa Etária
Categoria CID-10: V01   Pedestre traum colis veic a pedal, V02   Pedestre traum colis veic motor 2 3 rodas, V03   Pedestre traum colis automov pickup caminhon, V04   Pedestre traum colis veic transp pesado onib, V05   Pedestre traum colis trem veic ferroviario, V06   Pedestre traum colis outr veic nao-motoriz, V09   Pedestre traum outr acid transp e NE, V10   Ciclista traum colis pedestre animal, V11   Ciclista traum colis outr veic a pedal, V12   Ciclista traum colis veic motor 2 3 rodas, V13   Ciclista traum colis automov pickup caminhon, V14   Ciclis traum colis veic transp pesado onibus, V15   Ciclista traum colis trem veic ferroviario, V16   Ciclista traum colis outr veic nao-motoriz, V17   Ciclista traum colis objeto fixo ou parado, V18   Ciclista traum acid transp s/colis, V19   Ciclista traum acid transp e NE, V20   Motociclista traum colis pedestre animal, V21   Motociclista traum colis veic pedal, V22   Motocicl traum colis veic motor 2 3 rodas, V23   Motocicl traum colis automov pickup caminhon, V24   Motocicl traum colis veic transp pesado onib, V25   Motociclista traum colis trem veic ferrov, V26   Motocicl traum colis outr veic nao-motoriz, V27   Motocicl traum colis objeto fixo parado, V28   Motociclista traum acid transp s/colis, V29   Motociclista traum outr acid transp e NE, V30   Ocup tricicl mot traum colis pedestre animal, V31   Ocup tricicl motoriz traum colis veic pedal, V32   Ocup tric mot traum col out veic mot 2 3 rod, V33   Ocup tric mot traum col auto pickup caminhon, V34   Ocup tric mot traum col veic transp pes onib, V35   Ocup tricic mot traum colis trem veic ferrov, V36   Ocup tric mot traum colis outr veic n-motor, V37   Ocup tricic mot traum colis obj fixo parado, V38   Ocup tricic motor traum acid transp s/colis, V39   Ocup tricicl mot traum outr acid transp e NE, V40   Ocup automovel traum colis pedestre animal, V41   Ocup automovel traum colis veic a pedal, V42   Ocup autotraum colis outr veic mot 2 3 rodas, V43   Ocup automov traum col auto pickup caminhon, V44   Ocup autom traum colis veic trans pesad onib, V45   Ocup automovel traum colis trem veic ferrov, V46   Ocup automov traum colis outr veic n-motor, V47   Ocup automovel traum colis obj fixo parado, V48   Ocup automovel traum acid transp s/colis, V49   Ocup automovel traum outr acid transp e NE, V50   Ocup caminhonete traum colis pedestre animal, V51   Ocup caminhonete traum colis veic pedal, V52   Ocup caminhon traum colis veic mot 2 3 rodas, V53   Ocup caminhon traum colis automov caminhon, V54   Ocup caminhon traum col veic transp pes onib, V55   Ocup caminhon traum colis trem veic ferrov, V56   Ocup caminhonete traum colis outr veic n-mot, V57   Ocup caminhonete traum colis obj fixo parado, V58   Ocup caminhonete traum acid transp s/colis, V59   Ocup caminhonete traum outr acid transp NE, V60   Ocup veic transp pesado traum colis ped anim, V61   Ocup veic transp pesado traum col veic pedal, V62   Ocup v transp pes traum col veic mot 2 3 rod, V63   Ocup veic tr pesado traum col auto caminhon, V64   Ocup v tr pes tr col outr veic tr pes onib, V65   Ocup veic tr pes traum col trem veic ferrov, V66   Ocup veic tr pesado traum col out veic n-mot, V67   Ocup veic tr pesado traum col obj fixo parad, V68   Ocup veic tr pesado traum ac transp s/colis, V69   Ocup veic tr pesado traum outr ac transp NE, V70   Ocup onibus traum colis pedestre animal, V71   Ocup onibus traum colis veic a pedal, V72   Ocup onibus traum col out veic mot 2 3 rodas, V73   Ocup onibus traum colis automovel caminhonet, V74   Ocup onibus traum colis veic transp pes onib, V75   Ocup onibus traum colis trem veic ferrov, V76   Ocup onibus traum colis outr veic n-motor, V77   Ocup onibus traum colis objeto fixo parado, V78   Ocup onibus traum acid transp s/colis, V79   Ocup onibus traum outr acid transp e NE, V80   Pess mont anim oc veic anim traum ac transp, V81   Ocup trem veic ferroviario traum acid transp, V82   Ocup de um bonde traum acid transp, V83   Ocup veic esp mot area ind traum ac transp, V84   Ocup veic esp mot uso agric traum acid trans, V85   Ocup veic mot esp constr traum acid transp, V86   Ocup veic outr uso n-via pub traum ac transp, V87   Acid trans tipo espec desconh mod transp vit, V88   Ac n-trans tipo espec desconh mod transp vit, V89   Acid veic mot n-mot tipos de veic NE, V90   Acid embarcacao caus afogamento submersao, V91   Acid embarcacao causando outr tipo de traum, V92   Afog submers rel transp agua s/acid embarc, V93   Acid bord emb s/ac bem n caus afog submers, V94   Outr acid transp p/agua e os NE, V95   Acid de aeronave mot causando traum ao ocup, V96   Acid aeronave s/motor causando traum a ocup, V97   Outr acid espec de transporte aereo, V98   Outr acid transp espec, V99   Acid transp NE
Período:2019
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;1;2;1;2;-;-;-;-;-;6
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"110040 Alto Paraíso";-;-;-;2;1;2;-;-;2;1;-;-;-;8
"110034 Alvorada D'Oeste";-;-;-;-;-;-;3;-;2;1;1;-;-;7
"110002 Ariquemes";-;1;-;-;1;7;4;5;3;5;-;-;-;26
"110045 Buritis";-;-;-;-;2;2;-;-;1;-;-;-;-;5
"110003 Cabixi";-;-;-;-;-;-;-;1;-;-;-;1;-;2
"110060 Cacaulândia";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110004 Cacoal";1;-;-;-;2;4;4;4;2;1;-;1;-;19
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"110080 Candeias do Jamari";-;-;-;-;1;-;3;1;-;1;-;-;-;6
"110005 Cerejeiras";-;1;-;-;-;-;-;-;4;1;-;-;-;6
"110092 Chupinguaia";-;-;-;1;-;-;-;1;1;1;1;-;-;5
"110006 Colorado do Oeste";-;-;-;-;-;1;1;3;1;-;-;-;-;6
"110007 Corumbiara";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"110008 Costa Marques";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"110094 Cujubim";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";-;-;-;-;-;2;2;1;4;-;-;-;-;9
"110100 Governador Jorge Teixeira";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"110010 Guajará-Mirim";-;-;-;-;-;2;-;1;1;-;1;-;-;5
"110110 Itapuã do Oeste";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"110011 Jaru";-;1;-;-;1;4;3;1;2;-;2;2;-;16
"110012 Ji-Paraná";-;-;1;1;1;7;3;9;8;8;2;1;-;41
"110013 Machadinho D'Oeste";-;-;-;-;1;6;3;2;2;1;2;-;-;17
"110120 Ministro Andreazza";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110130 Mirante da Serra";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"110140 Monte Negro";-;-;-;1;-;-;2;-;-;-;-;-;-;3
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;1;-;1;-;1;-;-;3
"110033 Nova Mamoré";-;-;-;-;2;1;2;-;2;1;-;-;-;8
"110143 Nova União";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;-;-;-;-;1;3;2;3;-;-;1;-;10
"110018 Pimenta Bueno";-;-;-;-;-;1;2;1;1;-;-;-;-;5
"110020 Porto Velho";-;3;1;-;3;13;18;20;12;8;6;1;-;85
"110025 Presidente Médici";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"110028 Rolim de Moura";-;-;-;-;1;3;3;4;2;2;-;-;-;15
"110029 Santa Luzia D'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110149 São Francisco do Guaporé";-;-;-;-;-;1;2;2;-;-;-;-;-;5
"110032 São Miguel do Guaporé";-;-;1;-;1;-;3;-;1;-;-;-;-;6
"110150 Seringueiras";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"110160 Theobroma";-;-;-;-;-;1;-;1;-;-;1;-;-;3
"110170 Urupá";-;-;-;1;-;1;3;-;-;-;1;-;-;6
"110175 Vale do Anari";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110180 Vale do Paraíso";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"110030 Vilhena";-;-;-;-;2;4;9;7;8;4;2;1;-;37
"110000 Município ignorado - RO";-;-;-;-;-;-;-;1;-;-;-;-;2;3
"120001 Acrelândia";-;-;-;-;-;2;1;-;-;-;-;-;-;3
"120005 Assis Brasil";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"120010 Brasiléia";-;-;-;-;-;-;1;2;2;1;-;-;-;6
"120013 Bujari";-;-;1;-;-;-;1;-;-;-;1;-;-;3
"120017 Capixaba";-;-;-;-;-;1;-;1;-;1;1;-;-;4
"120020 Cruzeiro do Sul";1;-;1;-;1;6;2;2;1;-;-;1;-;15
"120025 Epitaciolândia";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"120030 Feijó";-;-;-;-;-;1;2;1;-;-;-;-;-;4
"120032 Jordão";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"120035 Marechal Thaumaturgo";-;-;-;-;-;1;1;-;1;-;-;-;-;3
