 Morbidade Hospitalar do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"11 Rondônia";46076,16;73657,22;55985,35;53703,22;30502,72;10564,94;13251,05;6228,80;6041,58;1629,68;8800,80;12499,02;40553,66;77839,72;94501,53;115705,69;98981,17;58883,18;45203,21;40381,96;32878,49;60621,29;138544,14;264514,25;420543,21;405578,72;206602,18;147926,71;78441,72;38528,08;27021,00;21507,20;19997,75;25815,62;52650,90;107276,58;110878,21;97339,81;103655,32;91261,63;48732,45;29827,81;20265,61;31033,60;22578,45;24136,76;24667,52;40651,53;50453,79;55285,89;57261,05;54579,74;44410,65;31717,35;29714,10;19007,67;17309,74;14745,42;24167,90;49811,83;118364,93;163594,60;144985,63;129319,10;75984,51;54494,99;32447,78;28029,04;20481,09;24013,00;37506,40;51563,02;46514,08;61665,42;49013,25;56466,79;39035,16;27003,94;20908,13;27173,44;14353,38;15932,79;23977,86;28910,45;31374,12;36687,82;43171,16;43003,54;46501,06;35619,71;17099,05;16034,85;18891,62;18205,45;16523,04;27260,03;61580,82;89431,44;86412,45;62933,25;35547,64;17757,37;13024,35;8513,11;8826,61;8222,09;13358,18;27772,78;27784,75;29620,89;28694,94;31620,89;13138,33;9160,71;6919,08;7958,91;7100,54;4214,09;8785,83;7724,10;10824,84;12465,17;19588,33;15814,01;12369,82;6976,86;6130,96;2650,06;4875,14;7719,68;4267,51;3378,67;8153,15;6552,89;10223,65;8367,94;9702,39;31896,03;15873,36;9938,65;6959,10;7776,93;9371,96;17783,42;28401,37;33636,13;34362,42;18934,15;9731,62;9774,12;9146,94;3065,31;4537,62;3072,12;3912,09;7402,16;6164,29;8952,16;6366,03;5753,43;6734018,19
"12 Acre";2423,04;4104,61;2092,80;4475,50;4364,70;1934,71;5647,05;4156,11;1744,56;2058,37;2054,07;2280,61;14757,80;25957,07;31295,25;68172,37;36595,65;25397,10;14797,98;6202,60;-;7287,63;5319,56;12366,39;30036,04;38302,90;63168,72;38409,78;20342,70;22649,33;4460,84;6001,99;3606,62;8664,70;9990,87;20897,77;39367,90;44074,13;35880,56;20478,39;10570,85;3782,04;4534,90;1712,72;1840,57;1438,80;2103,86;6659,34;7060,24;7978,93;9158,48;6592,77;4323,12;3886,72;3817,10;1494,80;1759,97;5990,15;7112,58;5405,96;7975,95;16824,27;8617,64;14508,38;5716,72;3657,34;3744,69;6522,37;1782,56;967,40;1259,26;2087,73;6298,23;4848,90;7862,78;10121,01;13117,20;3357,36;7953,52;4423,27;8255,29;17533,50;54032,44;25456,19;33922,48;31527,30;17423,08;14400,14;12076,00;12681,73;9216,81;3052,75;12230,12;3819,46;2866,38;1333,03;2202,54;6120,74;5406,80;6271,02;3685,32;1838,56;623,52;303,76;1658,38;1191,04;1239,82;2071,04;2964,02;1364,52;4069,64;2486,76;2722,05;2730,06;311,76;2193,86;-;2859,41;2764,48;3830,00;3733,12;3353,39;3293,36;6054,72;3337,76;3658,60;2755,58;2501,95;2097,07;8145,65;7468,17;10209,24;12308,57;10337,25;15865,62;2390,08;7323,07;6005,50;6420,54;2603,11;3836,19;4685,57;15801,87;25862,30;22350,96;28831,02;10460,25;10796,48;8546,67;1809,25;3120,09;159,71;1787,82;1888,51;5485,45;13853,01;35000,57;33172,21;32405,38;27949,24;1649089,95
"13 Amazonas";18028,21;67500,64;65548,88;64461,06;33070,59;32873,52;13077,97;5412,10;2442,95;1754,82;1771,19;6204,92;6860,92;8635,21;23325,77;13664,73;14646,97;6921,25;12470,86;5716,05;7992,25;2396,03;2444,23;2888,63;2569,22;3172,26;6940,56;8633,16;18216,58;17332,38;39058,11;25853,20;22893,04;26047,94;25182,71;38232,11;61781,39;148008,37;253896,09;187779,86;81449,57;22637,89;14948,09;8071,23;5506,16;2628,27;4495,51;5034,05;6571,35;11628,24;12736,40;6610,42;3937,68;2642,64;5249,49;6568,32;6223,02;3890,26;8130,21;7540,47;17878,99;34400,80;28075,05;25034,41;27348,54;14966,11;7718,51;6506,31;5182,74;3818,72;3628,32;3046,92;5656,45;5925,67;12017,17;10727,63;10697,58;3749,85;5061,56;1319,97;2434,69;2357,89;6151,93;3157,87;5244,06;8245,93;11433,11;8535,31;10405,63;9014,54;8695,04;5146,68;5212,63;9217,08;6899,79;4717,02;9246,70;16402,47;13063,77;12773,16;10642,75;6661,33;5191,01;2150,32;3879,53;2838,08;2467,71;3419,06;5769,21;6916,12;8329,41;7095,58;4908,91;5252,04;1228,99;1340,15;295,76;926,64;895,28;1306,70;1779,49;667,74;654,88;1275,78;1518,80;4047,28;2734,67;1340,99;1276,67;619,78;638,79;1605,10;1924,05;1726,56;2168,10;3723,16;1638,68;4078,88;2014,25;950,23;295,76;2135,73;3998,97;13920,52;16370,42;15634,62;14832,82;8832,56;4883,01;7617,19;5463,25;6543,99;3716,24;4218,98;6734,44;10341,18;8026,85;15297,52;30597,26;32982,48;2253664,85
"14 Roraima";784,80;2704,05;6931,84;15808,02;24543,19;28282,00;37352,99;40356,70;35976,77;47060,85;19944,85;23336,84;24204,91;35602,80;42292,94;25030,87;35605,15;14507,44;16340,43;18180,59;25589,38;17156,18;13703,12;11311,72;9922,19;18203,49;46518,25;52623,34;52512,35;72917,55;68734,02;30252,15;27707,95;24545,47;10386,75;7959,78;10804,10;7373,16;6597,20;7234,72;3265,11;6709,04;6753,06;7761,10;10034,67;6925,41;4541,58;4367,63;3842,61;9044,47;6824,50;10045,82;12695,38;18613,76;11122,09;13979,41;8318,33;6308,36;7146,67;1876,31;2454,95;3071,98;1069,50;1295,16;2848,19;2816,15;2606,68;2519,22;1419,66;1273,32;1899,24;1582,92;1991,25;1145,93;2467,36;2016,37;721,28;2306,21;1640,22;575,52;6158,89;2906,40;4216,76;1841,70;1134,86;1766,10;4773,21;1839,48;1883,15;2297,77;4078,93;6217,23;5989,91;8078,40;6544,07;3836,82;3752,32;1617,10;1616,09;1868,00;12653,72;1095,87;797,78;2276,64;748,20;3693,01;1746,01;1742,33;375,03;2594,08;2772,62;4172,80;2462,11;3203,61;2892,09;2779,06;447,12;447,71;-;-;438,84;1081,13;44,22;711,64;-;-;-;1416,29;895,19;-;1095,93;821,07;731,53;1235,55;4961,94;2975,87;770,26;943,96;1139,21;1926,07;1984,89;5987,91;12983,63;11582,33;16413,85;6811,37;6722,33;1633,15;287,76;550,05;-;825,55;-;-;-;-;-;-;-;-;1421085,82
"15 Pará";260087,61;305972,80;340607,38;384479,42;334740,03;236849,26;146395,91;76651,58;60168,94;57905,80;74933,99;108024,92;123602,77;177279,52;239718,25;230832,00;161890,13;158368,83;139288,89;75128,08;44868,75;38796,34;39805,67;52359,94;85443,13;95275,30;172147,32;197405,47;205736,01;174241,26;155503,82;170420,28;210413,92;185623,14;213259,76;288198,15;355410,50;452496,50;428432,16;371293,65;236264,47;174582,74;120364,70;84304,30;82872,96;88707,05;88437,07;141758,37;174360,36;228438,26;217989,50;206534,84;202032,52;159843,04;123348,65;80097,47;108371,11;90866,71;86555,47;84765,91;133264,89;197172,13;233004,89;200318,02;155887,89;81151,59;66415,82;45050,38;36396,30;37971,71;29730,30;44307,05;42168,47;58985,82;80320,53;75510,52;95997,03;56776,26;44376,67;31240,96;32410,30;28156,56;29885,30;33834,51;35125,91;52546,91;88898,44;85392,42;84512,17;61887,63;49230,66;45377,07;51112,31;39423,02;52648,64;65353,61;77090,90;128824,93;150641,32;131865,97;119431,23;85285,49;51811,89;58639,55;36017,06;31402,98;26823,30;43783,08;93131,31;144033,40;123734,54;93018,29;62729,16;39711,77;22987,47;23697,90;22368,46;14767,96;12017,37;14140,55;19331,09;23332,03;32734,81;36089,79;32480,56;24922,53;12734,71;14239,53;11368,29;17018,27;13251,63;16021,41;25091,46;38919,08;40920,68;53220,83;59934,30;27916,81;20138,88;32557,30;16849,14;19202,07;19791,21;10525,71;30900,60;44851,33;52567,72;31963,60;15102,51;5148,69;11006,23;4995,15;3849,57;2119,09;2653,84;5822,36;3046,37;10296,79;10725,50;4654,03;15458646,75
"16 Amapá";2756,10;5620,31;4300,07;11953,11;5224,19;4492,32;3953,84;5750,32;8648,39;6792,64;3594,65;5462,72;1407,89;9183,04;8142,82;13199,60;8827,69;12005,11;1887,95;3538,06;3914,94;2365,80;2292,11;895,28;1397,07;2778,01;8591,60;2185,38;3566,59;5673,35;6743,31;18891,72;5632,11;6709,25;7746,45;9053,99;10928,43;15155,24;10594,84;15212,93;10247,07;5313,12;7065,42;2896,42;4477,43;1641,46;3246,32;24386,31;2524,04;3768,80;1779,61;4955,96;4174,51;3081,13;2702,41;5685,67;8634,58;10536,96;9615,70;3705,31;4800,48;2523,97;4539,95;4543,24;3774,58;4519,13;4208,98;1279,39;2040,66;4219,92;635,70;2143,95;1438,80;1017,11;1766,68;3788,36;5922,43;4956,92;7869,57;2062,31;3123,08;3654,32;2511,53;1518,93;2181,71;5202,39;13742,81;10097,44;6123,76;11646,80;6876,45;4647,69;2695,65;3122,38;2541,96;764,54;2965,30;2318,06;2053,04;2438,08;1209,08;-;520,93;2182,38;958,84;3349,36;1462,80;-;946,13;1267,75;2742,57;2437,26;2176,41;2423,98;-;289,17;900,42;584,93;-;614,88;287,76;705,36;2194,75;3957,41;2002,61;575,52;594,34;576,92;575,52;1383,00;1467,41;759,76;714,18;287,76;622,22;-;1062,10;648,25;1737,79;287,76;-;1215,04;327,76;295,76;623,52;-;829,47;311,76;287,76;349,70;-;-;-;-;-;-;-;-;439,70;319,76;595293,04
"17 Tocantins";36189,87;64770,62;63950,53;72889,39;79570,51;36550,63;18064,27;5618,62;4835,52;2135,33;2402,40;6528,19;17537,60;30644,68;40791,62;28182,45;40071,83;39832,19;24592,94;18532,70;6118,49;11608,61;9090,76;23736,34;42831,12;51912,05;54553,68;66777,51;65259,63;39257,87;23143,53;12227,60;4884,12;4170,59;17611,05;23461,00;40851,68;26611,12;36719,18;34068,09;40079,74;39316,65;26943,70;17576,61;10986,02;14956,38;24160,79;19990,77;36118,17;40924,10;50675,84;50046,31;58947,45;33550,00;15366,64;10475,62;8040,67;7086,82;9259,73;14107,99;32351,92;55383,37;46855,24;45567,16;41209,38;28464,83;12228,23;6882,60;4602,31;7486,83;13207,61;23377,14;42074,62;38138,44;40976,81;34044,53;21099,15;16771,51;14996,80;6004,88;4296,54;2446,08;8557,22;9538,49;6957,56;11562,07;25692,67;24198,25;14608,61;35667,86;16504,75;6617,02;4381,54;4388,17;5099,46;9298,01;23962,18;27040,57;25675,35;16230,67;10371,82;9123,61;5349,24;2637,84;2674,71;1454,80;1534,80;3213,36;10772,70;15055,05;14918,28;13839,80;15355,43;10318,63;5555,44;4349,83;11891,52;871,28;1565,55;887,28;3687,35;4203,93;5441,83;4996,95;8616,28;3587,01;1593,20;2495,03;901,23;2386,75;2715,62;4836,76;21637,80;38502,50;31086,53;38476,25;28018,34;33961,92;9799,64;7572,79;5116,41;3184,80;962,05;1843,86;5860,52;8512,43;4029,34;3805,19;4974,38;3620,14;3140,82;344,45;287,76;636,66;1483,47;2133,93;-;2106,18;653,47;1633,97;3022230,85
"21 Maranhão";47854,03;57491,54;95012,07;164665,75;169884,83;115093,39;73859,57;38281,75;27214,22;13113,54;17499,80;18601,84;29611,42;56372,13;71669,74;88945,25;119058,61;109595,47;59173,92;29343,17;23323,39;19915,30;19978,03;23339,16;34781,43;45528,10;69112,89;105631,59;96554,23;96267,74;88106,44;96279,54;105780,57;100684,46;92200,09;110665,25;127080,78;165392,33;198236,48;224594,34;205087,95;174467,57;161945,20;121363,95;86788,82;86657,66;93824,10;118546,69;141792,47;148763,27;169262,28;187406,54;167675,12;138188,18;88154,01;57135,17;49870,03;35431,66;42724,15;33274,29;45702,88;82039,37;85092,86;108046,09;101161,39;109254,14;79189,05;70807,54;48252,53;43257,42;38710,51;36642,04;47363,61;51720,67;74253,40;103378,12;119487,22;124380,97;78057,70;57055,27;49939,87;49021,71;33483,22;44931,83;60421,25;78999,61;180480,95;223432,36;204281,51;136481,03;92063,82;59274,66;54310,69;37182,86;28163,97;41267,07;62195,21;131396,74;260442,21;325343,34;265342,26;200672,15;103627,24;60951,41;63775,69;38397,54;64316,88;32248,12;58021,08;75423,70;131148,60;89619,67;94572,58;88778,81;48568,31;30158,94;32113,84;11732,62;21317,22;20150,22;21872,85;18301,05;15526,87;27632,27;28154,81;18154,61;9734,03;14587,55;5603,94;4356,98;5323,68;8098,48;17157,91;35397,18;57547,53;109932,54;128511,17;104397,21;64237,02;44528,34;32593,74;18269,73;12318,21;12828,10;20541,97;42276,22;47257,07;21670,54;21276,37;18231,15;11771,31;8779,67;6524,00;3968,73;879,28;2253,52;10048,90;6258,21;11406,00;11708,78;11801974,38
"22 Piauí";17389,60;28543,27;61523,25;119157,15;85303,93;51398,37;28706,84;17799,44;12884,98;4063,00;7111,20;11458,74;20658,86;33682,65;48789,67;77251,23;93519,90;117361,82;74961,91;56753,68;40965,01;31074,17;29600,29;21913,61;50327,31;69551,78;91032,99;113741,95;162478,16;134356,60;136315,78;72080,16;51042,81;56640,68;25687,20;30721,06;53100,20;78995,09;92994,18;156458,93;126830,15;108185,68;75182,00;41062,37;42066,91;21925,07;27008,33;36978,68;38934,65;65089,85;54914,44;91468,48;158868,10;112285,89;73161,33;52248,59;21294,77;14157,37;16090,92;18107,31;25379,59;43022,54;59955,53;64457,19;54745,13;60692,69;49817,85;29711,98;18205,02;10269,55;11965,43;10717,43;19468,60;18868,70;18356,01;35171,75;63132,85;71414,40;68735,88;56426,26;25502,59;26318,01;13702,25;11613,88;14521,52;24481,78;46133,47;81106,58;83747,52;40921,53;31668,74;23864,16;8054,94;7917,22;6746,48;6523,08;10651,99;20457,69;25356,91;30491,42;41592,22;33090,83;24320,44;19664,53;8214,38;9637,86;3096,31;4578,05;4286,81;6446,36;16877,23;11742,79;24812,13;23233,88;33783,64;32271,45;9680,46;4971,96;5269,11;5019,92;1486,80;3185,76;5974,15;7621,76;11268,83;14029,58;10860,67;5333,63;7537,26;4428,82;3242,50;863,28;6008,71;8984,93;8736,68;25907,81;67426,31;61205,87;43502,92;17737,50;8446,13;4223,47;4911,88;2113,68;3993,23;2988,61;5066,67;4407,76;5169,83;6280,23;2654,04;4291,00;1230,40;913,23;198,45;607,52;583,52;1853,92;3543,85;3784,74;5698750,77
"23 Ceará";82413,74;167327,04;308401,92;548664,21;611693,63;436291,45;220289,79;103794,54;52319,82;29673,49;34100,04;32637,11;35506,39;71018,54;109948,56;82553,65;78997,01;80974,17;59630,37;38417,89;18447,83;17620,04;27306,52;43684,72;44229,53;84998,41;143444,89;147399,48;135808,25;162380,44;160614,11;154899,60;140075,69;126798,90;153533,04;220263,33;303885,20;356143,15;472699,32;566336,24;419123,69;295873,30;175192,22;107660,13;65083,31;63865,66;49542,18;61569,40;66260,83;96935,06;106655,94;208332,36;296558,91;201050,07;95110,69;82642,60;34281,62;33101,73;32769,40;39695,10;50438,61;55603,66;70548,83;97020,42;125420,38;155878,13;138193,38;129205,00;93813,21;70050,08;40757,44;31960,77;43685,27;50371,44;53346,39;91510,27;148875,42;148478,08;154591,59;114246,32;73019,92;69308,57;50549,13;44545,38;55805,88;85918,79;188753,35;245800,64;357798,63;401397,34;270078,81;190870,59;140118,63;74079,80;40922,70;41704,67;42498,67;61016,63;84569,75;145665,51;195939,50;194851,21;114967,60;67045,16;39882,24;31339,33;27027,30;27833,89;41610,12;42458,98;62109,37;108618,36;114049,96;78673,98;53646,21;44910,63;30481,87;18941,39;14232,58;15518,72;15890,28;14768,61;17162,99;28853,77;22218,04;20598,71;17157,05;24376,62;13971,89;12316,90;12387,60;9736,89;12000,31;18206,64;27049,24;50785,03;87326,75;91046,60;70428,27;74799,67;45581,00;31875,47;18991,89;17922,14;23307,84;35936,39;75878,47;89875,99;64113,48;81216,42;81825,48;52163,24;31313,81;17264,70;22123,17;28231,95;12290,60;18366,61;19298,10;44118,87;16501860,21
