 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Bronquite aguda e bronquiolite aguda, Bronquite enfisema e outr doenç pulm obstr crônic
Período:2010
"Município";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"Total"
"170025 Abreulândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170030 Aguiarnópolis";1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;3
"170035 Aliança do Tocantins";-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;3
"170040 Almas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"170070 Alvorada";-;-;-;-;-;-;2;3;1;2;3;1;1;2;-;1;16
"170100 Ananás";-;-;-;-;1;-;1;-;1;-;-;2;-;-;-;-;5
"170105 Angico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170130 Aragominas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170190 Araguacema";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"170200 Araguaçu";-;-;-;1;-;5;2;4;4;1;3;-;2;6;4;-;32
"170210 Araguaína";-;-;-;8;8;15;27;15;8;12;6;15;6;8;7;8;143
"170215 Araguanã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170220 Araguatins";-;-;-;-;-;1;1;1;-;-;1;2;2;-;1;-;9
"170230 Arapoema";-;-;-;1;4;2;4;1;2;1;1;1;-;1;1;-;19
"170240 Arraias";-;-;-;-;1;-;2;1;1;1;-;2;-;-;-;-;8
"170255 Augustinópolis";-;-;-;-;1;2;1;-;3;-;3;-;-;3;1;-;14
"170270 Aurora do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
