 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Febre amarela
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"13 Amazonas";14;13;13;3;-;-;2;1;3;-;-;-;1;-;50
"15 Pará";2;2;2;-;-;1;-;1;-;3;2;1;1;-;15
"16 Amapá";-;1;-;-;4;1;-;1;-;1;-;-;-;-;8
"17 Tocantins";-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
"21 Maranhão";-;-;-;1;-;-;-;-;13;3;1;-;-;-;18
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"23 Ceará";2;1;-;2;-;-;-;1;-;-;-;-;-;1;7
"25 Paraíba";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"26 Pernambuco";3;5;3;3;10;2;2;2;3;12;7;15;13;4;84
"27 Alagoas";-;-;2;-;-;-;-;-;-;1;-;-;-;-;3
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"29 Bahia";-;2;1;-;-;-;-;1;1;1;4;1;-;-;11
"31 Minas Gerais";4;3;3;1;1;4;2;2;5;481;601;6;7;-;1120
"32 Espírito Santo";1;3;-;1;1;-;-;-;-;208;6;1;-;-;221
"33 Rio de Janeiro";-;1;1;1;-;1;-;1;-;13;90;1;1;1;111
"35 São Paulo";6;21;1;2;1;1;1;1;1;12;280;50;1;-;378
"41 Paraná";2;1;-;2;-;1;1;2;1;9;1;11;1;-;32
"42 Santa Catarina";1;-;-;-;-;-;-;-;-;2;6;-;23;4;36
"43 Rio Grande do Sul";3;8;2;2;2;-;1;-;-;-;2;-;2;-;22
"50 Mato Grosso do Sul";2;-;1;-;-;-;-;-;-;1;1;-;-;-;5
"51 Mato Grosso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"52 Goiás";1;-;-;2;-;-;-;-;1;2;-;-;1;-;7
"53 Distrito Federal";1;1;3;-;-;-;-;-;-;1;-;1;-;-;7
"Total";44;62;32;20;20;11;9;13;28;751;1003;87;54;10;2144
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
