"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"11 Rondônia";"8,29";"49,44";"66,06";"97,43";"115,31";"103,35";"113,63";"114,25";"100,23";"93,86";"75,87";"105,13";"119,70";"114,96";"104,43";"102,31";"97,74";"103,51";"103,02";"103,68";"103,17";"106,06";"114,05";"107,67";"89,69";"81,42";"71,76";"63,11";"91,79"
"12 Acre";"0";"63,59";"30,00";"85,83";"73,51";"99,23";"90,06";"102,46";"101,18";"95,36";"69,08";"79,37";"83,81";"97,63";"86,29";"97,22";"91,17";"96,38";"94,45";"84,12";"58,78";"66,67";"64,33";"62,66";"66,74";"68,69";"49,21";"40,88";"76,06"
"13 Amazonas";"7,55";"16,68";"69,11";"74,31";"108,21";"93,87";"100,65";"98,87";"89,94";"84,35";"73,50";"89,07";"92,13";"97,76";"87,54";"94,48";"88,78";"89,88";"93,64";"91,35";"92,46";"92,52";"75,83";"70,32";"69,88";"74,10";"59,27";"48,08";"79,84"
"14 Roraima";"3,70";"33,29";"46,30";"53,11";"112,89";"98,09";"141,29";"92,32";"103,89";"96,17";"71,01";"95,09";"90,78";"95,97";"91,82";"100,57";"90,75";"93,11";"83,87";"80,36";"86,89";"93,64";"87,95";"96,83";"72,72";"69,77";"50,37";"27,55";"82,26"
"15 Pará";"5,36";"12,84";"17,94";"29,26";"80,62";"92,57";"85,95";"100,19";"95,47";"99,85";"92,78";"103,10";"98,62";"107,84";"100,04";"107,97";"100,80";"95,98";"95,00";"90,07";"70,42";"57,71";"59,57";"59,14";"63,11";"62,60";"48,93";"39,32";"74,43"
"16 Amapá";"0";"0,04";"4,42";"10,54";"93,36";"94,50";"92,80";"178,09";"98,99";"97,89";"74,56";"90,31";"85,89";"87,97";"85,69";"88,54";"82,38";"80,74";"84,54";"82,57";"71,06";"76,80";"91,49";"61,48";"65,56";"66,99";"36,91";"30,17";"77,06"
"17 Tocantins";"0";"0";"25,53";"60,35";"87,81";"102,84";"100,65";"106,25";"108,59";"101,33";"85,29";"99,84";"100,70";"102,65";"93,89";"100,37";"93,10";"93,40";"93,88";"93,22";"86,67";"83,28";"77,26";"73,28";"81,08";"76,47";"71,00";"65,80";"87,62"
"21 Maranhão";"33,62";"41,82";"10,81";"18,40";"76,33";"77,45";"99,63";"93,76";"98,70";"97,72";"91,87";"102,16";"106,79";"114,12";"100,20";"102,89";"104,64";"101,53";"100,62";"99,37";"88,49";"87,32";"68,62";"65,86";"72,36";"66,75";"51,24";"42,31";"78,76"
"22 Piauí";"0,01";"0,17";"1,15";"0,69";"1,27";"11,97";"68,88";"61,18";"81,73";"85,48";"93,78";"94,41";"99,73";"103,72";"98,40";"99,89";"93,99";"92,71";"97,29";"90,34";"76,49";"74,20";"71,72";"69,85";"76,92";"73,40";"62,37";"54,74";"63,11"
"23 Ceará";"0";"0";"0";"0";"0,63";"14,27";"27,21";"5,38";"0,77";"0,17";"0,09";"0,08";"0,31";"0,15";"0,18";"0,15";"0,18";"0,11";"0,09";"0,20";"0,23";"0,36";"0,44";"1,66";"1,12";"0,78";"9,65";"21,37";"2,86"
