"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Dez";" Total"
"11 Rondônia";"145068";"226411";"203138";"166436";"290311";"161955";"211016";"186696";"104735";"115022";"3599";"3371";"4131";"12741";"10933";"7864";"7194";"9286";"7780";"5939";"5445";"4021";"5577";"6006";"6802";"9562";"19935";"14013";"11476";"15659";"9497";"6439";"6499";"4968";"6895";"5523";"7354";"9253";"16215";"10423";"8367";"13473";"8120";"5695";"6264";"5524";"6405";"9344";"11207";"15620";"23430";"14736";"8637";"11261";"7632";"8205";"7598";"3140";"96267";"31858";"13758";"17206";"19122";"15643";"15992";"25664";"16556";"8957";"7103";"7369";"8153";"6853";"8518";"12096";"16676";"11679";"8022";"10069";"10690";"9055";"8230";"6800";"7795";"7444";"11111";"16168";"16944";"12230";"13043";"13213";"8801";"7368";"7093";"5741";"6679";"7946";"8508";"9497";"14059";"11196";"10675";"12482";"7876";"7406";"10117";"6534";"9504";"8371";"8558";"8250";"14765";"10780";"9722";"10616";"7324";"6970";"6155";"5049";"7783";"6708";"7242";"12251";"14340";"10863";"11852";"12223";"9870";"6984";"6668";"5933";"7992";"7941";"9793";"9331";"11242";"7577";"9531";"7770";"8536";"9183";"7788";"5800";"7015";"7646";"10097";"8197";"13514";"9959";"9335";"22157";"10746";"7453";"7811";"6418";"9092";"7578";"8978";"12233";"12066";"10062";"8843";"9218";"28501";"11773";"6824";"6769";"19900";"22138";"21932";"12233";"9094";"6128";"4844";"4720";"6652";"4894";"4232";"3242";"11891";"7355";"6375";"5111";"5271";"5578";"6697";"8202";"5181";"4916";"3965";"3261";"4769";"4624";"4438";"5060";"5392";"4768";"5103";"3912";"3546";"5579";"5415";"3895";"5478";"10089";"8805";"3852";"7765";"7304";"7247";"6797";"6162";"13398";"9439";"4695";"4131";"4707";"5160";"5788";"6467";"1228";"0";"3814483"
"12 Acre";"0";"69684";"38659";"107705";"92187";"271986";"64157";"53164";"43132";"48338";"2489";"2255";"2262";"3859";"3009";"3914";"2441";"3154";"3616";"2827";"3064";"2985";"2504";"2846";"4443";"4635";"7013";"4473";"3522";"6406";"4912";"2657";"3464";"3997";"4159";"3461";"3619";"4214";"5487";"4663";"5082";"4840";"4777";"2310";"2922";"2724";"3191";"3773";"3654";"4240";"4222";"5484";"3361";"4860";"8340";"11779";"7454";"4161";"30998";"10837";"6276";"6027";"7388";"6654";"5700";"6521";"4576";"3980";"3853";"3565";"5064";"4553";"4935";"6929";"7776";"7785";"4867";"4302";"5348";"4828";"5090";"5625";"3766";"4454";"5433";"7764";"8193";"5740";"3767";"4832";"3507";"3503";"4387";"4332";"10901";"10026";"14095";"13520";"13206";"9176";"6603";"5420";"5727";"7150";"5027";"5460";"4104";"4365";"4425";"5077";"6212";"6289";"4929";"4886";"3358";"5498";"4078";"2182";"3303";"2866";"3911";"4822";"3994";"5230";"3863";"5665";"3407";"3654";"3335";"3299";"3083";"3166";"2220";"4763";"3699";"3569";"3115";"2840";"2320";"1910";"2161";"1472";"2016";"2553";"3267";"2431";"3547";"2769";"1858";"7773";"2798";"2938";"2291";"1953";"3521";"3202";"3106";"3415";"3931";"3607";"2724";"2877";"12127";"3368";"3609";"2551";"6302";"8055";"8341";"4249";"3413";"2514";"2028";"2012";"3489";"1786";"1698";"1694";"4263";"3271";"2703";"2166";"1799";"1602";"2060";"2054";"1525";"1692";"1532";"1308";"2093";"2082";"1874";"1914";"1986";"1748";"2033";"1855";"1511";"1687";"2093";"1895";"3438";"3607";"3225";"1129";"1711";"1636";"2049";"2023";"2540";"4796";"3056";"2046";"2137";"1670";"2088";"3351";"2351";"73";"0";"1676557"
"13 Amazonas";"208007";"150657";"825292";"421308";"549112";"333421";"415695";"336329";"252583";"237617";"12188";"11002";"10106";"24769";"16566";"16050";"14510";"17584";"16021";"10625";"19360";"14657";"12358";"13069";"17821";"19642";"29793";"25579";"23332";"21232";"18567";"19080";"16846";"15887";"18916";"16601";"22766";"23711";"33295";"26712";"27351";"28100";"20569";"17818";"24403";"22423";"22836";"21615";"23836";"41825";"30419";"28132";"24424";"23415";"19764";"23638";"21968";"17618";"163901";"57299";"30263";"31841";"27392";"27211";"23061";"27525";"23249";"17234";"15679";"16741";"15695";"17522";"20427";"24007";"29122";"26120";"20681";"22703";"21868";"17530";"17652";"12952";"15272";"15367";"24924";"29071";"30084";"23910";"18781";"24501";"20397";"17933";"18217";"15524";"18110";"18585";"18010";"22514";"27259";"23547";"22716";"26323";"22264";"18938";"22461";"15811";"19984";"19772";"23923";"20141";"28458";"26525";"21931";"26300";"20745";"24985";"16914";"16634";"17084";"17732";"30945";"30996";"22810";"29404";"24903";"34995";"34331";"25587";"21637";"19816";"22279";"25556";"23986";"29257";"29112";"19342";"19942";"23209";"24484";"22816";"19121";"16290";"18378";"22646";"29936";"25218";"28908";"25843";"22531";"47695";"27649";"23335";"22221";"19392";"24784";"17641";"22025";"21043";"23708";"20486";"18200";"25220";"72557";"22707";"19137";"13486";"43974";"37275";"53580";"26577";"23835";"13065";"14199";"14716";"23326";"13061";"12355";"10252";"25152";"16961";"20706";"15284";"14545";"12857";"22133";"23220";"16273";"15852";"11753";"9678";"14885";"14217";"16975";"14922";"14715";"13376";"12746";"15200";"13710";"12632";"12016";"9111";"33971";"23717";"22886";"2844";"14750";"21826";"18799";"20447";"17694";"36415";"20257";"13022";"8946";"11572";"15695";"16477";"18057";"2448";"0";"8388663"
"14 Roraima";"10273";"48298";"47661";"33080";"162470";"43500";"62296";"47140";"41361";"61590";"3717";"7975";"3180";"3449";"3835";"3298";"4360";"3473";"4941";"3731";"4242";"1405";"5202";"12615";"8960";"4984";"4895";"7622";"6065";"9558";"5058";"6691";"4938";"4684";"6690";"5234";"5718";"4054";"5434";"6555";"3812";"6026";"3832";"3110";"3174";"4511";"5792";"4049";"5008";"4336";"5188";"8377";"5866";"6519";"6092";"5386";"5052";"5587";"19088";"15116";"6129";"4316";"4618";"4933";"4038";"4245";"4822";"3412";"2601";"3032";"2992";"3404";"3365";"3111";"5327";"3999";"3338";"3547";"3775";"3563";"3011";"2638";"3720";"2956";"3372";"3823";"3301";"2948";"2629";"3285";"3059";"2774";"2421";"2241";"2941";"3262";"3136";"3332";"3806";"2888";"3707";"2581";"2678";"1958";"2281";"2588";"3046";"3134";"2797";"2696";"923";"2859";"2728";"3038";"2743";"1979";"2322";"2102";"3025";"3093";"2672";"2871";"3954";"3790";"3051";"2203";"2417";"2053";"757";"1544";"3255";"3627";"3309";"3119";"2891";"2754";"2595";"2878";"3922";"2392";"1029";"2216";"2453";"3730";"6870";"4726";"4477";"4461";"4166";"8260";"6113";"4238";"4225";"4503";"3039";"3762";"4776";"4532";"4632";"4499";"4142";"4278";"7099";"6224";"3993";"2528";"6447";"14520";"21824";"8822";"4448";"2723";"2789";"3478";"2291";"4790";"2262";"1606";"3206";"3576";"7040";"6285";"4476";"3366";"4195";"3621";"3171";"10496";"10584";"10844";"12471";"8810";"7599";"7184";"6952";"3019";"3766";"6888";"6446";"10558";"6440";"7248";"8127";"7070";"5251";"834";"1260";"1636";"3362";"2010";"2254";"3990";"2214";"2142";"3559";"3038";"3076";"3309";"1408";"300";"0";"1498647"
"15 Pará";"88991";"84984";"194235";"710311";"2911623";"1495557";"1011092";"599046";"419592";"596873";"24115";"26692";"20410";"39693";"32671";"76498";"36174";"53084";"33095";"24100";"36459";"21278";"19287";"24528";"31221";"43167";"62801";"47815";"25244";"66589";"31093";"27721";"26738";"23899";"25880";"26843";"26339";"32011";"35563";"45821";"34807";"31445";"36508";"18724";"27145";"30461";"25515";"25247";"32743";"34053";"39273";"56745";"31780";"44232";"38401";"31986";"33277";"27989";"213888";"92410";"51573";"46626";"47253";"76851";"42075";"58159";"47631";"26481";"34867";"27097";"41835";"31023";"30639";"34866";"34194";"47247";"32894";"32470";"36256";"30532";"26269";"25208";"22400";"25760";"31521";"33318";"33747";"37218";"33439";"41056";"33284";"26294";"28214";"25193";"22087";"27821";"28165";"35805";"53693";"42158";"38803";"40809";"32429";"30541";"31862";"24444";"27169";"29535";"36634";"32843";"40122";"42138";"34006";"43193";"33376";"29415";"28994";"20831";"24727";"27393";"30045";"34667";"34801";"39486";"31246";"40382";"40740";"30238";"28686";"22388";"28616";"30157";"28953";"30319";"26507";"22571";"23003";"23019";"25277";"21722";"13995";"11468";"19406";"18482";"26104";"24109";"25340";"21671";"19014";"56308";"26651";"21794";"21114";"13011";"25992";"24271";"26525";"28581";"27174";"26560";"20769";"25101";"91554";"22012";"22984";"15962";"72713";"69904";"148403";"79649";"39470";"22350";"18747";"21070";"32884";"18787";"14804";"9999";"39819";"27768";"27149";"19317";"16815";"14527";"17804";"20365";"16733";"16428";"14237";"10253";"18276";"18095";"16634";"16787";"17784";"16816";"18015";"17929";"14513";"16512";"17187";"11453";"22671";"26915";"28736";"9192";"12290";"20284";"28866";"25252";"24398";"38107";"27100";"16036";"19724";"18146";"21401";"20674";"17579";"2561";"0";"14796948"
"16 Amapá";"0";"1177";"5387";"13382";"201466";"63984";"89652";"78454";"48167";"37051";"1564";"855";"1796";"2580";"2043";"2658";"1834";"2573";"2265";"1551";"1947";"1639";"1738";"1918";"1910";"2166";"3451";"5418";"2159";"3039";"2819";"2011";"2607";"1649";"2785";"2226";"2951";"3154";"3665";"3392";"2545";"3493";"2398";"2326";"1986";"1722";"2606";"2199";"3083";"3528";"3736";"3598";"2674";"3875";"3054";"2814";"6895";"3615";"37865";"19427";"8821";"8398";"6402";"4931";"4248";"5768";"5587";"2512";"2049";"1748";"2550";"2282";"3267";"4393";"3185";"3555";"3114";"2222";"3519";"2992";"2587";"1728";"2825";"2453";"3205";"3871";"5396";"4307";"3042";"3378";"4132";"2150";"3068";"1676";"2614";"2446";"2568";"2722";"3693";"3515";"3009";"3414";"3464";"3231";"3216";"2339";"2995";"2698";"3330";"4152";"5192";"4360";"3555";"6386";"2833";"2890";"2732";"1041";"2839";"2578";"2721";"3579";"2680";"2672";"3425";"4850";"3646";"2393";"2373";"1723";"3305";"2988";"2824";"3269";"3143";"2679";"2654";"3172";"3509";"3228";"1499";"1796";"2208";"1976";"2785";"2244";"3389";"2682";"3033";"7062";"4283";"3720";"3818";"2775";"4060";"4412";"4401";"3995";"3617";"3365";"3308";"4649";"9302";"3484";"3234";"2558";"5754";"6968";"8250";"5179";"4090";"2897";"2306";"2733";"5584";"2075";"2043";"1438";"4429";"3813";"3114";"2340";"1899";"1855";"2109";"2485";"2069";"2236";"1903";"1379";"2429";"2165";"2145";"1925";"1998";"2081";"2121";"2148";"1288";"2099";"1945";"1684";"2031";"1955";"2051";"340";"373";"1077";"2239";"1806";"2154";"4045";"1245";"1979";"3024";"2796";"1791";"2621";"2279";"199";"0";"1225164"
"17 Tocantins";"0";"0";"29641";"126793";"253470";"442866";"248854";"93013";"94856";"106538";"7446";"8023";"8428";"14223";"6619";"8942";"4698";"12208";"6331";"18466";"18373";"14336";"8411";"9429";"19901";"16817";"12738";"11539";"7246";"15367";"6167";"6458";"10088";"10550";"7962";"7059";"8004";"10003";"9073";"11276";"6318";"10588";"5760";"6430";"7702";"5469";"7555";"6656";"8171";"11127";"10003";"12878";"6428";"11728";"10698";"16167";"11020";"7421";"154954";"40292";"16323";"11362";"8180";"9989";"6038";"15283";"10177";"5807";"5422";"4998";"6227";"6130";"7352";"9026";"8687";"12528";"7777";"10541";"10385";"7495";"7542";"5898";"8594";"9240";"13217";"22371";"18723";"12306";"6597";"9698";"6970";"5908";"6306";"4846";"6476";"6746";"7850";"9880";"9624";"8089";"5414";"8548";"6506";"6839";"7572";"5324";"7281";"6219";"8382";"6581";"10974";"7634";"5779";"9111";"6835";"7377";"6069";"3998";"6367";"6261";"7387";"13504";"8019";"7676";"6393";"8558";"9891";"7667";"6769";"4338";"7246";"6704";"9020";"10061";"8444";"6065";"6153";"7106";"7899";"5094";"6119";"4012";"6475";"5201";"8744";"7600";"10300";"11525";"8763";"23834";"12197";"9675";"8817";"5142";"7185";"6343";"8061";"10055";"8474";"7444";"4918";"6309";"25402";"8240";"6389";"3935";"23394";"27376";"20955";"7197";"6230";"4048";"2739";"3686";"4752";"2818";"2507";"2021";"8136";"5186";"4058";"3542";"3517";"2844";"2911";"3673";"2581";"3015";"2653";"1932";"3673";"3013";"2762";"3032";"3379";"2799";"2549";"3311";"1928";"3326";"3666";"2381";"5066";"8315";"6248";"3585";"7078";"6250";"5696";"5022";"5031";"11769";"5889";"3600";"4684";"3857";"4524";"5357";"4844";"705";"0";"3245519"
"21 Maranhão";"895983";"1427423";"211545";"169951";"1523654";"766983";"1364866";"457278";"343393";"353607";"22444";"19885";"21733";"40782";"32541";"30567";"21152";"27367";"24151";"18326";"23161";"16822";"19048";"20481";"32262";"53128";"79776";"44291";"17324";"36637";"26675";"25472";"29295";"27146";"24601";"25788";"30503";"35351";"47086";"43189";"23657";"31333";"23253";"20227";"29240";"25774";"26912";"27272";"27187";"35918";"40161";"37071";"30091";"32123";"30343";"28884";"32535";"23966";"197730";"63322";"35891";"46355";"40085";"38267";"29848";"45680";"35066";"27652";"29466";"23234";"28231";"31155";"31765";"35967";"32079";"29053";"20938";"19475";"27974";"23000";"25315";"26050";"30401";"31293";"38731";"44326";"44248";"40225";"29794";"36460";"29719";"32391";"37716";"30243";"27229";"28048";"30251";"34725";"41309";"35323";"31687";"37691";"37292";"26357";"36725";"24872";"30927";"28257";"35232";"30560";"40237";"36333";"30081";"39195";"29077";"32941";"25863";"18812";"20370";"19259";"26739";"40296";"32935";"34197";"30631";"40262";"44949";"30361";"25172";"19521";"23383";"22556";"26436";"29401";"28017";"23681";"25844";"24835";"29699";"26349";"21767";"15259";"20991";"20606";"38792";"32054";"36838";"29725";"27202";"65908";"34774";"27907";"26136";"17465";"22535";"20229";"23681";"27754";"27600";"23026";"18967";"21093";"83665";"25646";"21472";"12178";"69144";"75751";"70023";"26913";"23266";"14796";"15422";"16751";"30430";"16929";"14055";"8497";"46286";"35104";"30531";"23837";"20096";"15495";"17078";"20215";"14587";"16534";"13612";"9396";"17655";"16986";"16474";"18348";"19350";"15871";"17328";"14766";"14072";"16341";"14674";"10458";"17816";"26254";"26931";"9840";"12735";"18393";"25040";"22261";"22165";"41322";"18629";"12332";"15862";"13996";"15861";"18679";"13781";"1137";"0";"13634051"
"22 Piauí";"20743";"46284";"43243";"3452";"19685";"31302";"899816";"256362";"96661";"87036";"7029";"6452";"7689";"9865";"6935";"8627";"6456";"7936";"5557";"4955";"7033";"4115";"6690";"6786";"7810";"11070";"8782";"14888";"6519";"10527";"7151";"8676";"9448";"8381";"7917";"8031";"8953";"9567";"10881";"12292";"8706";"8441";"6626";"5259";"11260";"9270";"9918";"9281";"10322";"13652";"14185";"12729";"11879";"12464";"9767";"11123";"11271";"25653";"103875";"45970";"20802";"18459";"11296";"10265";"9178";"12900";"8509";"5943";"7200";"5682";"7743";"6500";"7737";"7418";"7509";"7678";"6691";"7110";"6637";"6912";"7798";"5309";"8151";"7866";"10771";"11394";"12892";"12407";"11197";"11912";"9919";"8092";"8884";"7090";"8424";"7581";"8642";"9327";"10008";"10472";"10745";"14447";"9889";"10417";"10292";"7898";"9919";"9068";"11691";"10259";"13460";"12713";"11287";"11798";"11118";"10356";"10180";"8118";"7876";"7819";"9395";"9427";"8245";"10895";"10530";"12329";"11704";"11452";"10682";"7137";"9301";"7382";"7613";"10362";"9501";"8683";"8060";"8200";"8074";"7780";"6255";"4209";"6976";"5734";"9023";"7451";"7696";"7462";"7168";"20411";"8184";"8344";"9190";"5548";"9405";"7789";"8157";"8724";"8214";"8935";"7419";"7886";"39496";"10836";"9317";"5701";"21193";"25651";"26706";"10784";"6928";"6497";"5992";"6676";"10829";"6019";"5238";"3469";"21236";"11912";"8849";"8000";"5988";"5284";"5966";"6078";"5290";"5967";"5406";"3817";"6715";"6104";"5711";"5291";"6225";"5753";"6708";"5688";"5146";"7521";"7266";"5058";"8159";"12443";"11100";"3725";"8342";"9803";"10021";"10391";"9874";"24391";"13121";"7219";"8134";"7425";"7259";"7944";"7576";"1269";"0";"3586347"
"23 Ceará";"0";"0";"188";"0";"91678";"302814";"386570";"50504";"10859";"3874";"739";"381";"592";"1211";"525";"669";"534";"997";"809";"411";"1255";"666";"986";"843";"1236";"1699";"743";"1416";"852";"808";"911";"890";"5987";"1063";"1496";"1117";"1007";"792";"1208";"204";"1565";"861";"910";"870";"1038";"913";"1023";"881";"964";"908";"1055";"1162";"978";"904";"591";"996";"989";"1667";"20182";"5264";"2205";"3827";"2989";"1971";"2226";"2007";"1522";"824";"1498";"1569";"2320";"1797";"1533";"2113";"2107";"1903";"1908";"1258";"1446";"1255";"1495";"1664";"2167";"1038";"1177";"1264";"1361";"1402";"1479";"1517";"1080";"1283";"1029";"1389";"1424";"1411";"1332";"1271";"1311";"2064";"2150";"1949";"1411";"1487";"1857";"1513";"1736";"1793";"1638";"1599";"1783";"1881";"1518";"1616";"1180";"1425";"1224";"1284";"1713";"1220";"1349";"1599";"1589";"1730";"3139";"2059";"1649";"1778";"1492";"1387";"1557";"1785";"1387";"1466";"1476";"1749";"2223";"2180";"1760";"2122";"1989";"1787";"1923";"1443";"1733";"1442";"1891";"1971";"2336";"2042";"1512";"1598";"1962";"1567";"2002";"1396";"1617";"1149";"2078";"1774";"1835";"1765";"2908";"1248";"1478";"1665";"7821";"12961";"11486";"7883";"6639";"6809";"3711";"3252";"2802";"4989";"4593";"3915";"35015";"17582";"15047";"9970";"8345";"7208";"5341";"3563";"2718";"2528";"3198";"3946";"2899";"5331";"3117";"2828";"3223";"2991";"2920";"2110";"2082";"2106";"2130";"1797";"1561";"1687";"1623";"1517";"5708";"8828";"14461";"21965";"46068";"120217";"55992";"31374";"24918";"22021";"15340";"13106";"11342";"1721";"0";"1726560"
